iso3,year,intentional_homicides
JAM,1997,40.740263940392
JAM,1996,36.6414632817877
JAM,1995,31.1981218730632
JAM,1994,27.957105235675
JAM,1993,26.8172514521419
JAM,1992,26.0650694662971
JAM,1991,23.5748022017866
JAM,1990,22.858324190704
JPN,2023,0.229153196964695
JPN,2022,0.231204479818001
JPN,2021,0.226767585297115
JPN,2020,0.251772416452194
JPN,2019,0.251776994076062
JPN,2018,0.26317151259777
JPN,2017,0.240822214259524
JPN,2016,0.284680826905949
JPN,2015,0.285207237530428
JPN,2014,0.309836473839101
JPN,2013,0.289687941924583
JPN,2012,0.335344134410932
JPN,2011,0.345052544691282
JPN,2010,0.362756174607419
JPN,2009,0.394718973722555
JPN,2008,0.510315592739754
JPN,2007,0.448130523589302
JPN,2006,0.48360414937829
JPN,2005,0.502684120166819
JPN,2004,0.546880856818189
JPN,2003,0.545933396760037
JPN,2002,0.519278415107055
JPN,2001,0.547696989948495
JPN,2000,0.533741479197123
JPN,1999,0.580434481076274
JPN,1998,0.612410126937131
JPN,1997,0.562305291398125
JPN,1996,0.517561767782069
JPN,1995,0.576099822503167
JPN,1994,0.599424390556901
JPN,1993,0.572733291050931
JPN,1992,0.541067647465003
JPN,1991,0.51578066666879
JPN,1990,0.547813038978693
JOR,2023,0.987830151085125
JOR,2022,1.11937678075855
JOR,2021,1.03014940057956
JOR,2020,0.993996674252794
JOR,2019,1.14319003336944
JOR,2018,0.898463493612211
JOR,2017,1.29956090475235
JOR,2016,1.4790583574967
JOR,2015,1.77061077375796
JOR,2014,2.08150620974155
JOR,2013,2.05210109500865
JOR,2012,2.21427674702976
JOR,2011,1.89828811842751
JOR,2010,1.75413508224255
JOR,2009,1.4282206743764
JOR,2008,1.71677110834457
JOR,2007,1.64049034842404
JOR,1997,0.832295441101721
JOR,1996,0.916027550851743
JOR,1995,0.736517107398504
JOR,1994,4.318843795093
JOR,1993,3.79483118693465
JOR,1992,3.41595213306224
JOR,1991,3.09055886627062
JOR,1990,3.31317084807234
KAZ,2022,2.55058633787163
KAZ,2021,2.84649159527772
KAZ,2020,3.11054491665357
KAZ,2017,4.90565829350323
KAZ,2015,4.71683271705767
KAZ,2014,5.07400953678053
KAZ,2013,6.37940291294929
KAZ,2012,7.31533714170016
KAZ,2011,8.3206363060125
KAZ,2010,8.23790230340836
KAZ,2009,10.6559350790615
KAZ,2008,11.0005007145455
KAZ,2004,13.1922962667978
KAZ,2003,12.6433726548997
KAZ,2002,12.5633296080858
KAZ,2001,13.8678890954092
KAZ,2000,14.9989331404008
KAZ,1999,15.3598555681854
KAZ,1998,16.1748127235001
KAZ,1997,16.0877622648852
KAZ,1996,15.990470775907
KAZ,1995,14.6259510155562
KAZ,1994,14.9556100303269
KAZ,1993,14.9700533807443
KAZ,1992,10.8465974094114
KAZ,1991,8.75070896947669
KAZ,1990,8.59855027276496
KEN,2022,4.87166844718499
KEN,2021,5.25374641584713
KEN,2020,3.56012051055805
KEN,2019,3.07795502113628
KEN,2018,3.12505555114881
KEN,2017,5.01242276948533
KEN,2016,4.90863183219284
KEN,2015,4.8015943416874
KEN,2014,5.00527231064574
KEN,2012,5.40918613326198
KEN,2011,5.31122951314829
KEN,2010,4.62996723697198
KEN,2009,4.72044629980071
KEN,2008,3.09944678223884
