iso3,year,asylum_seekers
CZE,2002,7645
CZE,2001,11586
CZE,2000,5015
DNK,2025,2738
DNK,2024,2628
DNK,2023,2356
DNK,2022,2776
DNK,2021,1519
DNK,2020,1331
DNK,2019,1422
DNK,2018,2675
DNK,2017,4229
DNK,2016,7001
DNK,2015,2931
DNK,2014,4268
DNK,2013,1605
DNK,2012,1539
DNK,2011,1415
DNK,2010,3334
DNK,2009,1146
DNK,2008,485
DNK,2007,537
DNK,2006,436
DNK,2005,500
DNK,2004,820
DNK,2003,2015
DNK,2002,4597
DNK,2001,5569
DNK,2000,6126
DJI,2025,10141
DJI,2024,8649
DJI,2023,8442
DJI,2022,9174
DJI,2021,11463
DJI,2020,10811
DJI,2019,11153
DJI,2018,10479
DJI,2017,9357
DJI,2016,8058
DJI,2015,2639
DJI,2014,3832
DJI,2013,3792
DJI,2012,3093
DJI,2011,1904
DJI,2010,727
DJI,2009,912
DJI,2008,426
DJI,2007,484
DJI,2006,14
DJI,2005,17
DJI,2004,0
DJI,2003,1651
DJI,2002,455
DJI,2001,464
DJI,2000,407
DMA,2025,5
DMA,2024,5
DOM,2025,1029
DOM,2024,986
DOM,2023,4185
DOM,2022,2175
DOM,2021,642
DOM,2020,625
DOM,2019,561
DOM,2018,327
DOM,2017,850
DOM,2016,787
DOM,2015,750
DOM,2014,743
DOM,2013,822
DOM,2012,764
DOM,2011,1783
DOM,2010,1756
DOM,2000,24
ECU,2025,8571
ECU,2024,7023
ECU,2023,7700
ECU,2022,9754
ECU,2021,7137
ECU,2020,26001
ECU,2019,25002
ECU,2018,17044
ECU,2017,11895
ECU,2016,24542
ECU,2015,11583
ECU,2014,11583
ECU,2013,11564
ECU,2012,14553
ECU,2011,21534
ECU,2010,49874
ECU,2009,50593
ECU,2008,33900
ECU,2007,27395
ECU,2006,5516
ECU,2005,2474
ECU,2004,1643
ECU,2003,2554
ECU,2002,2638
ECU,2001,2494
ECU,2000,147
EGY,2025,878268
EGY,2024,638948
EGY,2023,232244
EGY,2022,63881
EGY,2021,60392
EGY,2020,56446
EGY,2019,66309
EGY,2018,68168
EGY,2017,56557
EGY,2016,49844
EGY,2015,38135
EGY,2014,25603
